VGIN_QPID,year,dist_road_miles,dist_water_miles,dist_urban_miles,land_cover_code
5100100033650,2021,1.23775730289647,1.09119336381446,38.921357280872,5
5100100012850,2021,3.80321216710679,0.771003511420791,46.0718547684663,5
5100100009880,2021,0.868476989169758,0.441954655148728,27.0693934729036,1
5100100014310,2021,1.34712892250655,0.312575964444643,53.0571848282803,2
5100100040610,2021,2.23749778807161,0.252685132229033,33.2028876572032,5
5100100025930,2021,1.210613306783,0,51.0593730106262,5
5100100042380,2021,0.00499531417166675,1.05123453394176,35.1214318214737,1
5100100012710,2021,6.2170557097186,0.497810807138066,43.8859280259278,5
5100100002080,2021,1.72581811067978,0.362802399878099,32.4877931003409,5
5100100023880,2021,4.2766584266904,0.0297070854415985,43.7404150846181,5
5100100026520,2021,1.33123022639453,2.09906389026531,43.6977023127862,5
